"filename", "language", "Python", "Markdown", "JavaScript", "pip requirements", "vue", "JSON", "Django HTML", "comment", "blank", "total"
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/store/index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 3, 1, 9
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/AllTables.vue", "vue", 0, 0, 0, 0, 69, 0, 0, 0, 8, 77
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/ApiDebug.vue", "vue", 0, 0, 0, 0, 135, 0, 0, 0, 12, 147
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/CourseDetail.vue", "vue", 0, 0, 0, 0, 109, 0, 0, 0, 12, 121
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Courses.vue", "vue", 0, 0, 0, 0, 136, 0, 0, 1, 6, 143
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Departments.vue", "vue", 0, 0, 0, 0, 114, 0, 0, 2, 6, 122
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Home.vue", "vue", 0, 0, 0, 0, 206, 0, 0, 4, 8, 218
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/PersonDetail.vue", "vue", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Programs.vue", "vue", 0, 0, 0, 0, 114, 0, 0, 1, 6, 121
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Staffs.vue", "vue", 0, 0, 0, 0, 143, 0, 0, 0, 6, 149
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/StudentDetail.vue", "vue", 0, 0, 0, 0, 72, 0, 0, 2, 8, 82
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Students.vue", "vue", 0, 0, 0, 0, 160, 0, 0, 1, 6, 167
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/TableDataView.vue", "vue", 0, 0, 0, 0, 213, 0, 0, 0, 25, 238
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/vue.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"Total", "-", 2927, 186, 304, 38, 1629, 13165, 18, 151, 568, 18986
